City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mataura,NZ,2022-09-19 03:21:42,-46.1927,168.8643,61.0,58,100,6.13
59,Hilo,US,2022-09-19 03:21:43,19.7297,-155.09,80.28,87,100,1.99
60,Anloga,GH,2022-09-19 03:21:43,5.7947,0.8973,74.8,94,100,16.24
61,Beni Mazar,EG,2022-09-19 03:21:43,28.4962,30.8029,72.48,70,0,7.34
62,Santa Rosa,PH,2022-09-19 03:21:44,14.3122,121.1114,81.01,90,100,10.89
63,Grindavik,IS,2022-09-19 03:21:44,63.8424,-22.4338,49.95,93,100,31.07
64,Chokurdakh,RU,2022-09-19 03:21:44,70.6333,147.9167,44.24,43,64,13.49
65,Mulege,MX,2022-09-19 03:21:20,26.8833,-111.9833,85.42,64,1,1.57
66,Codrington,AU,2022-09-19 03:21:45,-38.2667,141.9667,56.52,74,57,11.86
67,Suleja,NG,2022-09-19 03:21:45,9.1758,7.1808,72.59,99,100,2.75
68,Banda Aceh,ID,2022-09-19 03:21:46,5.5577,95.3222,85.24,62,90,11.81
69,Geraldton,AU,2022-09-19 03:21:46,-28.7667,114.6,63.01,63,75,24.16
70,Talnakh,RU,2022-09-19 03:21:46,69.4865,88.3972,36.21,100,100,2.13
71,Bethel,US,2022-09-19 03:21:47,41.3712,-73.414,74.64,77,0,5.75
72,Saiha,IN,2022-09-19 03:21:47,22.4833,92.9667,82.98,63,75,0.69
73,Ilulissat,GL,2022-09-19 03:21:47,69.2167,-51.1,37.42,100,100,6.91
74,Sao Filipe,CV,2022-09-19 03:21:48,14.8961,-24.4956,77.92,77,58,6.04
75,Baghdad,IQ,2022-09-19 03:19:55,33.3406,44.4009,71.51,43,0,3.44
76,Axim,GH,2022-09-19 03:21:48,4.8699,-2.2405,74.39,93,90,8.41
77,Darhan,MN,2022-09-19 03:17:30,49.4867,105.9228,52.38,43,0,13.33
78,Crotone,IT,2022-09-19 03:21:48,39.0851,17.1178,63.19,50,4,2.93
79,Turukhansk,RU,2022-09-19 03:21:49,65.8167,87.9833,45.16,94,100,15.48
80,Shubarkuduk,KZ,2022-09-19 03:21:49,49.1447,56.4872,65.05,30,0,7.36
81,Pathein,MM,2022-09-19 03:21:49,16.7833,94.7333,79.34,89,100,4.5
82,Labuhan,ID,2022-09-19 03:21:50,-6.8844,112.2051,88.79,49,63,5.17
83,Tuatapere,NZ,2022-09-19 03:21:50,-46.1333,167.6833,58.78,65,99,4.97
84,Saint George,US,2022-09-19 03:21:50,37.1041,-113.5841,82.94,23,0,4.0
85,Jamestown,US,2022-09-19 03:21:51,42.097,-79.2353,69.71,71,0,6.91
86,Kilindoni,TZ,2022-09-19 03:21:51,-7.9139,39.6668,75.97,76,47,12.97
87,Chuy,UY,2022-09-19 03:21:51,-33.6971,-53.4616,57.58,88,100,10.8
88,Kaitangata,NZ,2022-09-19 03:21:52,-46.2817,169.8464,58.48,60,100,3.15
89,Longyearbyen,SJ,2022-09-19 03:21:52,78.2186,15.6401,26.44,80,40,6.91
90,Balkanabat,TM,2022-09-19 03:21:52,39.5108,54.3671,78.76,21,0,8.88
91,Kaabong,UG,2022-09-19 03:21:52,3.4836,34.1492,62.24,70,64,7.83
92,Damietta,EG,2022-09-19 03:21:53,31.4165,31.8133,74.43,65,1,6.2
93,Saint-Joseph,RE,2022-09-19 03:21:53,-21.3667,55.6167,70.18,78,34,13.51
94,Ketchikan,US,2022-09-19 03:22:53,55.3422,-131.6461,57.67,67,0,9.22
95,Russell,US,2022-09-19 03:22:54,32.3502,-85.1999,74.8,94,0,0.0
96,Vaini,TO,2022-09-19 03:22:54,-21.2,-175.2,74.26,79,99,22.55
97,Port Alfred,ZA,2022-09-19 03:22:54,-33.5906,26.891,53.19,95,100,5.01
98,Hermanus,ZA,2022-09-19 03:22:54,-34.4187,19.2345,49.8,72,95,8.61
99,Lebu,CL,2022-09-19 03:22:55,-37.6167,-73.65,43.09,77,1,5.59
100,Saint-Philippe,RE,2022-09-19 03:22:55,-21.3585,55.7679,71.19,83,62,13.96
101,Abu Dhabi,AE,2022-09-19 03:22:20,24.4667,54.3667,86.02,72,0,4.61
102,Bonthe,SL,2022-09-19 03:22:56,7.5264,-12.505,74.17,89,80,4.63
103,Kodiak,US,2022-09-19 03:22:56,57.79,-152.4072,60.31,72,100,10.36
104,Esperance,AU,2022-09-19 03:22:56,-33.8667,121.9,61.7,67,2,9.31
105,Cabo San Lucas,MX,2022-09-19 03:22:57,22.8909,-109.9124,85.51,73,100,9.01
106,Fort Nelson,CA,2022-09-19 03:22:57,58.8053,-122.7002,51.39,71,75,4.61
